ID	CCLE_name	Cell_line_primary_name	Gender	Batch	Site_Primary	Histology	Hist_Subtype1
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A11_240870	NCIH524_LUNG	NCI-H524	M	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A12_240872	NCIH209_LUNG	NCI-H209	M	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B03_240878	SBC5_LUNG	SBC-5	M	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C03_240902	NCIH196_LUNG	NCI-H196	M	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C05_240906	NCIH889_LUNG	NCI-H889	F	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C06_240908	NCIH211_LUNG	NCI-H211	F	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D03_240926	NCIH2171_LUNG	NCI-H2171	M	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D09_240938	LOUNH91_LUNG	LOU-NH91	F	1	lung	carcinoma	squamous_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D11_240942	LK2_LUNG	LK-2	M	1	lung	carcinoma	squamous_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E05_240954	NCIH441_LUNG	NCI-H441	M	1	lung	carcinoma	adenocarcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E07_240958	RERFLCSQ1_LUNG	RERF-LC-Sq1	F	1	lung	carcinoma	squamous_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E08_240960	NCIH2030_LUNG	NCI-H2030	M	1	lung	carcinoma	non_small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G02_240996	NCIH2122_LUNG	NCI-H2122	F	1	lung	carcinoma	adenocarcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H01_241018	A549_LUNG	A549	M	1	lung	carcinoma	non_small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H03_241022	NCIH1975_LUNG	NCI-H1975	F	1	lung	carcinoma	non_small_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C10_241108	NCIH2228_LUNG	NCI-H2228	F	2	lung	carcinoma	adenocarcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C12_241112	RERFLCAI_LUNG	RERF-LC-AI	M	2	lung	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D01_241114	SKMES1_LUNG	SK-MES-1	M	2	lung	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D02_241116	NCIH520_LUNG	NCI-H520	M	2	lung	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D08_241128	NCIH1963_LUNG	NCI-H1963	M	2	lung	carcinoma	small_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E01_241138	HCC15_LUNG	HCC-15	M	2	lung	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E04_241144	CALU6_LUNG	Calu-6	F	2	lung	carcinoma	undifferentiated_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E06_241148	SKLU1_LUNG	SK-LU-1	F	2	lung	carcinoma	adenocarcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E08_241152	SW900_LUNG	SW-900	M	2	lung	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G01_241186	PC14_LUNG	PC-14	M	2	lung	carcinoma	non_small_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G07_241198	NCIH810_LUNG	NCI-H810	M	2	lung	carcinoma	large_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G12_241208	RERFLCMS_LUNG	RERF-LC-MS	M	2	lung	carcinoma	non_small_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_H05_241218	NCIH460_LUNG	NCI-H460	M	2	lung	carcinoma	large_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A05_257606	NCIH526_LUNG	NCI-H526	M	2	lung	carcinoma	small_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A10_257616	NCIH2196_LUNG	NCI-H2196	M	2	lung	carcinoma	small_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B03_257626	NCIH446_LUNG	NCI-H446	M	2	lung	carcinoma	small_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D07_257682	CALU1_LUNG	Calu-1	M	2	lung	carcinoma	squamous_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D09_257686	NCIH2170_LUNG	NCI-H2170	M	2	lung	carcinoma	squamous_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D10_257688	SQ1_LUNG	Sq-1	F	2	lung	carcinoma	squamous_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D12_257692	NCIH2444_LUNG	NCI-H2444	M	2	lung	carcinoma	non_small_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E09_257710	NCIH1299_LUNG	NCI-H1299	M	2	lung	carcinoma	non_small_cell_carcinoma
