00003	ALDH2	NP_000681.2	Alcohol sensitivity, acute	16440063,6582480,4065146,2987944,7593603,8903321,10780266,15654505,10627091,16046871
00007	CHRNA1	NP_001034612.1	Myasthenic syndrome, congenital, fast-channel	10195214,7254233,15079006,12588888
00007	CHRNA1	NP_001034612.1	Myasthenic syndrome, congenital, slow-channel	8872460,9158151,7863154,7619526,3651795,9221765
00008	CHRNE	NP_000071.1	Myasthenic syndrome, slow-channel congenital, autosomal recessive	12141316
00008	CHRNE	NP_000071.1	Myasthenic syndrome, slow-channel congenital	7531341,7538206,8872460,12141316
00008	CHRNE	NP_000071.1	Myasthenic syndrome, fast-channel congenital	8232384,8755487
00008	CHRNE	NP_000071.1	Myasthenic syndrome, congenital, fast-channel	8755487,10962020
00008	CHRNE	NP_000071.1	Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency	9158150,11030414,9443457,16087917,10211467,10534268,10514102,15322984,15367858,8957026
00009	CHRNG	NP_005190.4	Escobar syndrome	16826520,16826531
00009	CHRNG	NP_005190.4	Multiple pterygium syndrome, lethal type	16826531
00010	ACHE	NP_056646.1	YT blood group polymorphism	8488842
00011	ASCL1	NP_004307.2	Haddad syndrome	14532329
00011	ASCL1	NP_004307.2	Central hypoventilation syndrome, congenital	14532329
00015	ACTC1	NP_005150.1	Cardiomyopathy, familial hypertrophic	10330430
00015	ACTC1	NP_005150.1	Cardiomyopathy, dilated, 1R	9563954
00017	ACTG1	NP_001605.1	Deafness, autosomal dominant 20	13680526,12519370,14684684,16773128,5654493
00018	FLNC	NP_001449.3	Filaminopathy, autosomal dominant	15929027
00021	ACVR1	NP_001096.1	Fibrodysplasia ossificans progressiva	16642017
00029	APRT	NP_000476.1	APRT deficiency due to type I allele	1985452
00029	APRT	NP_000476.1	APRT deficiency, Japanese type	3343350,2502918,2227951,1673292,1353080,8882882
00029	APRT	NP_000476.1	APRT deficiency	3680503,9298830,7685481,1353080,7915931,9521589,3554238
00030	ACTA1	NP_001091.1	Nemaline myopathy 3	10508519,11333380
00030	ACTA1	NP_001091.1	Myopathy, congenital, with fiber-type Disproportion 1	15468086
00030	ACTA1	NP_001091.1	Myopathy, actin, congenital, with cores	15520409
