hprd_interaction_id	interactor_hprd_id	interactor_geneSymbol	interactor_refseq_id	experiment_type	reference_id
COM_1	00011	ASCL1	NP_004307.2	in vivo	8900141,8948587
COM_1	00918	TCF3	NP_003191.1	in vivo	8900141,8948587
COM_1	02809	MEF2C	NP_002388.2	in vivo	8900141,8948587
COM_10	00022	RFC4	NP_002907.1	in vitro;in vivo	9488738,8692848
COM_10	00024	RFC1	NP_002904.3	in vitro;in vivo	9488738,8692848
COM_10	02675	RFC2	NP_852136.1	in vitro;in vivo	9488738,8692848
COM_10	02676	RFC3	NP_002906.1	in vitro;in vivo	9488738,8692848
COM_10	02677	RFC5	NP_031396.1	in vitro;in vivo	9488738,8692848
COM_100	00218	BRCA1	NP_009231.2	in vivo	11751867
COM_100	04990	RBBP8	AAH30590.1	in vivo	11751867
COM_100	09122	LMO4	NP_006760.1	in vivo	11751867
COM_1001	03886	MAP3K4	NP_005913.2	in vitro;in vivo	15262978
COM_1001	04819	AXIN1	NP_003493.1	in vitro;in vivo	15262978
COM_1001	16804	DIXDC1	NP_001033043.1	in vitro;in vivo	15262978
COM_1007	03989	GOLGA2	NP_004477.3	in vitro	9628863
COM_1007	06038	GORASP1	NP_114105.1	in vitro	9628863
COM_1007	09135	USO1	NP_003706.1	in vitro	9628863
COM_1009	04005	MAGOH	NP_002361.1	in vitro	11447110
COM_1009	05609	RBM8A	NP_005096.1	in vitro	11447110
COM_1009	13742	IPO13	NP_055467.3	in vitro	11447110
COM_1010	04005	MAGOH	NP_002361.1	in vitro	14973490
COM_1010	06482	EIF4A3	NP_055555.1	in vitro	14973490
COM_1010	16225	CASC3	NP_031385.2	in vitro	14973490
COM_1011	04011	MAP3K7	NP_663304.1	in vivo	12609980
COM_1011	04324	TLR3	NP_003256.1	in vivo	12609980
COM_1011	05483	MAP3K7IP2	NP_055908.1	in vivo	12609980
COM_1013	04015	CTBP1	NP_001319.1	in vivo	10766745
COM_1013	04318	IKZF1	NP_006051.1	in vivo	10766745
COM_1013	05869	IKZF3	NP_036613.2	in vivo	10766745
COM_1016	04042	MNAT1	NP_002422.1	in vitro;in vivo	15328539
COM_1016	09059	CCNH	NP_001230.1	in vitro;in vivo	15328539
COM_1016	15993	CDK7	NP_001790.1	in vitro;in vivo	15328539
COM_1019	04066	AURKA	NP_003591.2	in vitro;in vivo	11903063
COM_1019	10391	TACC1	NP_006274.2	in vitro;in vivo	11903063
COM_1019	10830	CKAP5	NP_001008938.1	in vitro;in vivo	11903063
COM_1019	11626	TDRD7	NP_055105.2	in vitro;in vivo	11903063
COM_102	00226	CDH2	NP_001783.2	in vitro;in vivo	11821434
COM_102	00286	CTNNB1	NP_001895.1	in vitro;in vivo	11821434
COM_102	06090	ERBB2IP	AAK69431.1	in vitro;in vivo	11821434
COM_103	00231	ANXA6	NP_001146.2	in vitro;in vivo	8798684,10708762
COM_103	00655	FYN	NP_002028.1	in vitro;in vivo	8798684,10708762
COM_103	00745	RASA1	NP_002881.1	in vitro;in vivo	8798684,10708762
COM_103	03131	PTK2B	NP_004094.3	in vitro;in vivo	8798684,10708762
COM_1032	04185	HNRNPU	NP_114032.2	in vitro	12855701
COM_1032	04563	TIAL1	NP_001029097.1	in vitro	12855701
COM_1032	04626	TIA1	NP_071505.2	in vitro	12855701
COM_1032	16025	ELAVL1	NP_001410.2	in vitro	12855701
COM_1034	04202	KLRC2	NP_002251.2	in vivo	9655483
COM_1034	04204	KLRD1	NP_002253.1	in vivo	9655483
COM_1034	04996	TYROBP	NP_003323.1	in vivo	9655483
COM_1037	04232	RBBP4	NP_005601.1	in vitro;in vivo	12435631
COM_1037	06949	SUZ12	NP_056170.2	in vitro;in vivo	12435631
COM_1037	09343	EED	NP_003788.2	in vitro;in vivo	12435631
COM_104	00232	S100A10	NP_002957.1	in vitro	12660155
COM_104	01061	ANXA2	NP_001002858.1	in vitro	12660155
COM_104	05981	TRPV5	NP_062815.2	in vitro	12660155
COM_1044	04284	MED6	NP_005457.2	in vitro	9734358
COM_1044	09156	MED21	NP_004255.2	in vitro	9734358
COM_1044	04422	CDK8	NP_001251.1	in vitro	9734358
COM_1044	00456	CCNC	NP_005181.2	in vitro	9734358
COM_1048	04325	TLR4	NP_612564.1	in vitro	14519765
COM_1048	06350	TICAM1	NP_891549.1	in vitro	14519765
COM_1048	16313	TICAM2	NP_067681.1	in vitro	14519765
COM_1049	04334	GPAA1	NP_003792.1	in vitro;in vivo	12802054
COM_1049	05474	PIGK	NP_005473.1	in vitro;in vivo	12802054
COM_1049	12250	PIGU	NP_536724.1	in vitro;in vivo	12802054
COM_1049	15135	PIGS	NP_149975.1	in vitro;in vivo	12802054
COM_1049	15136	PIGT	NP_057021.2	in vitro;in vivo	12802054
COM_105	00232	S100A10	NP_002957.1	in vitro;in vivo	12660155
COM_105	01061	ANXA2	NP_001002858.1	in vitro;in vivo	12660155
COM_105	05982	TRPV6	NP_061116.2	in vitro;in vivo	12660155
COM_1050	04334	GPAA1	NP_003792.1	in vivo	11483512,12582175
COM_1050	05474	PIGK	NP_005473.1	in vivo	11483512,12582175
COM_1050	15135	PIGS	NP_149975.1	in vivo	11483512,12582175
COM_1050	15136	PIGT	NP_057021.2	in vivo	11483512,12582175
COM_1052	04336	ABI1	NP_005461.2	in vitro;in vivo	15048123
COM_1052	05796	WASF2	NP_008921.1	in vitro;in vivo	15048123
COM_1052	07064	NAPSA	NP_004842.1	in vitro;in vivo	15048123
COM_1052	07556	CYFIP2	NP_055191.2	in vitro;in vivo	15048123
COM_1056	04380	SMAD3	NP_005893.1	in vitro;in vivo	14691252
COM_1056	09068	PIAS3	NP_006090.2	in vitro;in vivo	14691252
COM_1056	02534	CREBBP	NP_004371.2	in vitro;in vivo	14691252
COM_106	00234	PPP3CA	NP_000935.1	in vitro;in vivo	12809556
COM_106	00235	PPP3CB	AAH28049.1	in vitro;in vivo	12809556
COM_106	04226	RCAN1	NP_004405.3	in vitro;in vivo	12809556
COM_1061	04400	RAD1	NP_596868.1	in vitro;in vivo	9872989,10884395
COM_1061	04787	HUS1	NP_004498.1	in vitro;in vivo	9872989,10884395
COM_1061	04788	RAD9A	NP_004575.1	in vitro;in vivo	9872989,10884395
COM_1065	04426	STX5	NP_003155.2	in vivo	12388752
COM_1065	04936	GOSR1	AAC39889.1	in vivo	12388752
COM_1065	16205	YKT6	NP_006546.1	in vivo	12388752
COM_1065	16547	BET1L	NP_001092257.1	in vivo	12388752
COM_1067	04434	INADL	NP_733750.2	in vitro	11927608
COM_1067	05019	CRB1	NP_957705.1	in vitro	11927608
COM_1067	09508	MPP5	NP_071919.2	in vitro	11927608
COM_1068	04434	INADL	NP_733750.2	in vivo	12527193,12771187
