hprd_id	geneSymbol	refseq_id	all_nomenclature(separated by semi-colon)
00001	ALDH1A1	NP_000680.2	Aldehyde dehydrogenase 1 family, member A1;ALDH1;ALHDII;ALDH-E1;Acetaldehyde dehydrogenase 1;ALDH, Liver cytosolic;Retinal dehydrogenase 1;RALDH 1;ALDC;EC 1.2.1.36
00002	FAU	NP_001988.1	FBR-MuSV associated ubiquitously expressed;RPS30;FAU1;40S ribosomal protein S30;FAU encoded ubiquitin like protein;Ubiquitin like protein FUBI
00003	ALDH2	NP_000681.2	ALDH, liver mitochondrial;Aldehyde dehydrogenase 2, family;ALDH class 2;ALDH-E2;ALDM;ALDHI;DHAM;EC 1.2.1.3
00004	ALDH3A1	NP_000682.3	Aldehyde dehydrogenase family 3 subfamily A, member 1;ALDH3;Acetaldehyde dehydrogenase 3;ALDH, Stomach type;ALDHIII;EC 1.2.1.5
00005	ALDH1B1	NP_000683.3	Aldehyde dehydrogenase 1 family, member B1;ALDH5;Acetaldehyde dehydrogenase 5;ALDH X;EC 1.2.1.3
00006	ACAT2	NP_005882.2	Acetocoenzyme A acetyltransferase 2;Acetoacetyl-CoA thiolase;EC 2.3.1.9
00007	CHRNA1	NP_001034612.1	Cholinergic receptor, nicotinic, alpha polypeptide 1;CHRNA;Acetylcholine receptor, muscle, alpha subunit;ACHRA
00008	CHRNE	NP_000071.1	Cholinergic receptor, nicotinic, epsilon polypeptide;Acetylcholine receptor, muscle, epsilon subunit;ACHRE
00009	CHRNG	NP_005190.4	Acetylcholine receptor, muscle, gamma subunit;ACHRG
00010	ACHE	NP_056646.1	AChE-H;Acetylcholinesterase isoform E4-E6 precursor;YT;Acetylcholinesterase isoform E4-E5 precursor;AChE;Acetylcholine acetylhydrolase;EC 3.1.1.7;AcChoEase
00011	ASCL1	NP_004307.2	Mammalian achaete scute homolog 1;MASH1;HASH1;ASH1;Achaete scute homolog 1
00012	ACO2	NP_001089.1	Citrate hydrolyase aconitase;Aconitase 2;EC 4.2.1.3
00013	ACO1	NP_002188.1	Aconitase 1;Iron responsive element binding protein 1;IRE-BP 1;Iron regulatory protein 1;Ferritin repressor protein;Aconitate hydratase;IRP1;IREBP;IRE binding protein1;IREB1;EC 4.2.1.3
00014	ACRV1	NP_001603.1	Acrosomal vesicle protein 1 isoform k;Acrosomal vesicle protein 1 isoform b;Acrosomal vesicle protein 1 isoform c;Acrosomal vesicle protein 1 isoform d;Acrosomal vesicle protein 1 isoform e;Acrosomal vesicle protein 1 isoform f;Acrosomal vesicle protein 1 isoform h;Acrosomal vesicle protein 1 isoform j;Acrosomal vesicle protein 1 isoform a;SP-10;SPACA2;Sperm protein 10
00015	ACTC1	NP_005150.1	Smooth muscle actin;Actin, alpha cardiac;Actin, alpha;ACTC1
00016	ACTG2	NP_001606.1	ACTSG;ACTE;Actin alpha 3;ACTA3;ACTL3;Gamma sm actin;Gamma smooth muscle actin;SMgammaA
00017	ACTG1	NP_001605.1	Cytoskeletal gamma actin;Actin gamma;ACTG
00018	FLNC	NP_001449.3	Filamin gamma;ABPL;Filamin 2;FLN2;ABP280A;ABPA;Actin binding protein 280
00019	ACTN2	NP_001094.1	Alpha actinin skeletal muscle isoform 2;F-actin cross linking protein
00020	ACTN1	NP_001123476.1	-
00021	ACVR1	NP_001096.1	R2;ALK2;SKR1;TSR-I;ActRIA;ACTR-I;ACVRLK2;Hydroxyalkyl-protein kinase;Activin receptor like kinase 2;TGF-B superfamily receptor type I;Activin A receptor, type II like kinase 2;Serine-threonine protein kinase receptor R1
00022	RFC4	NP_002907.1	MGC27291;RFC37;A1;Activator 1, 37-kDa subunit;Replication factor C 37-kDa subunit;A1, 37 kDa subunit;RF-C, 37 kDa subunit
00023	PML	NP_150241.2	Promyelocytic leukemia protein isoform 1;Promyelocytic leukemia protein isoform 9;Promyelocytic leukemia protein isoform 2;Promyelocytic leukemia protein isoform 5;Promyelocytic leukemia protein isoform 7;Promyelocytic leukemia protein isoform 8;Promyelocytic leukemia protein isoform 10;Promyelocytic leukemia protein isoform 11;RNF71;PP8675;RING finger protein 71;Tripartite motif protein TRIM19 kappa;Tripartite motif protein TRIM19 zeta;Tripartite motif protein TRIM19 lambda;PML IVa;Tripartite motif protein TRIM19 beta;PML VI;Tripartite motif protein TRIM19 epsilon;Tripartite motif protein TRIM19 iota;PML VIb;Tripartite motif protein TRIM19 eta;Tripartite motif protein TRIM19 theta;PML VIIb;Probable transcription factor, PML;Tripartite motif protein 19;MYL;TRIM19;Promyelocytic leukemia protein
00024	RFC1	NP_002904.3	Replication factor, 140 kDa subunit;Replication factor C, large subunit;DNA binding protein, PO-GA;Activator 1, 140 kDa subunit;MHC binding factor, beta;RF-C, 140 kDa subunit
00025	ACVR2A	NP_001607.1	ActR-II;ActRIIA
00026	STAT3	NP_644805.1	Signal transducer and activator of transcription 3 isoform 2;STAT3B;STAT3beta;Signal transducer and activator of transcription 3 isoform 3;Signal transducer and activator of transcription 3 isoform 1;Signal transducer and activator of transcription 3;Acute phase response factor;APRF
00027	AOAH	NP_001628.1	EC 3.1.1.77
00028	ACYP2	NP_612457.1	Acylphosphate phosphohydrolase;Acylphosphatase, muscle;ACYP;EC 3.6.1.7
00029	APRT	NP_000476.1	AMP;MGC125856;MGC125857;DKFZp686D13177;Adenine phosphoribosyltransferase isoform a;Adenine phosphoribosyltransferase isoform b;AMP pyrophosphorylase;AMP diphosphorylase;Transphosphoribosidase;EC 2.4.2.7
00030	ACTA1	NP_001091.1	ASMA;ACTA;Alpha actin 1
00031	ACTA2	NP_001604.1	Actin, vascular smooth muscle;Actin alpha, smooth muscle, aortic;ACTSA;Actin alpha-2, smooth muscle, aorta;Alpha 2 actin;Actin aortic smooth muscle
00032	ACTB	NP_001092.1	Beta actin;Beta cytoskeletal actin
00033	SOAT1	NP_003092.4	Acyl-CoA Cholesterol acyltransferase;ACACT;Sterol acyltransferase;ACAT1;STAT;EC 2.3.1.26
00034	APEH	NP_001631.3	N-acylaminoacylpeptide hydrolase;APH;Acylamino acid releasing enzyme;EC 3.4.19.1
00035	MADCAM1	NP_570117.1	Mucosal vascular addressin cell adhesion molecule 1;Addressin mucosal;Mucosal addressin cell adhesion molecule 1
00036	ADD1	NP_054908.2	MGC3339;MGC44427;Erythrocyte adducin subunit alpha;Alpha adducin;Erythrocyte adducin, alpha subunit;ADDA
00037	ADD2	NP_001608.1	Adducin 2 isoform b;Adducin 2 isoform c;Adducin 2 isoform d;Adducin 2 isoform e;Adducin, beta;Erythrocyte adducin beta subunit;ADDB
00038	ADA	NP_000013.2	Adenosine aminohydrolase
00039	ADK	NP_006712.2	Adenosine kinase isoform a;Adenosine kinase isoform b;Adenosine 5`-phosphotransferase;AK;EC 2.7.1.20
00040	AMPD1	NP_000027.1	Myoadenylate deaminase;AMP deaminase 1;Adenosine monophosphate deaminase 1;AMP deaminase, isoform M;EC 3.5.4.6
00041	AMPD3	NP_000471.1	Erythrocyte adenosine monophosphate deaminase;Myoadenylate deaminase;Erythrocyte type AMP deaminase;AMP aminohydrolase;Erythrocyte adenosine monophosphate deaminase isoform 1A;Erythrocyte adenosine monophosphate deaminase isoform 1B;Erythrocyte adenosine monophosphate deaminase isoform 1C;Adenosine monophosphate deaminase 3;EC 3.5.4.6
00042	ADORA1	NP_000665.1	RDC7;A1AR
00043	ADORA2A	NP_000666.2	ADORA2;RDC8
00044	ATP5B	NP_001677.2	ATP synthase, H+ transporting, mitochondrial F1 complex, beta subunit;Mitochondrial ATP synthase, beta subunit;ATPMB;ATPSB
00045	ADCYAP1R1	BAA04466.1	Adenylate cyclase activating polypeptide 1, receptor;Pituitary adenylate cyclase activating polypeptide receptor, type I;PACAPR1;PAC1
