00001	-	NP_000680.2	ALDH1A1	General	Aldehyde dehydrogenase activity (GO:0004028)	1709013	Aldehyde metabolism (GO:0006081)	1709013	-	-
00002	-	NP_001988.1	FAU	General	Ubiquitin-specific protease activity (GO:0004843)	-	Protein metabolism (GO:0019538)	-	Ribosome (GO:0005840); Nucleolus (GO:0005730)	1326960,15635413
00003	-	NP_000681.2	ALDH2	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739); Cytoplasm (GO:0005737)	1306115,11468345,15033988,11468345
00004	-	NP_000682.3	ALDH3A1	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	9514081,1306115,15905174,15905174
00005	-	NP_000683.3	ALDH1B1	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739)	7779080
00006	-	NP_005882.2	ACAT2	General	Acyltransferase activity (GO:0008415)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737); Endoplasmic reticulum (GO:0005783)	7911016,10327276
00007	-	NP_001034612.1	CHRNA1	General	Intracellular ligand-gated ion channel activity (GO:0005217)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	9158151
00008	-	NP_000071.1	CHRNE	General	Extracellular ligand-gated ion channel activity (GO:0005230)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	9158150
00009	-	NP_005190.4	CHRNG	General	Extracellular ligand-gated ion channel activity (GO:0005230)	-	Transport (GO:0006810)	-	Plasma membrane (GO:0005886)	3967651
00010	-	NP_056646.1	ACHE	General	Hydrolase activity (GO:0016787)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Plasma membrane (GO:0005886); Extracellular (GO:0005576); Integral to membrane (GO:0016021)	8488842,1609795,3319614
00010	00010_1	NP_056646.1	ACHE	Isoform_specific	Hydrolase activity (GO:0016787)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
00010	00010_2	NP_000656.1	ACHE	Isoform_specific	Hydrolase activity (GO:0016787)	-	Neurotransmitter metabolism (GO:0042133)	-	-	-
00011	-	NP_004307.2	ASCL1	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	11171979,11309412
00012	-	NP_001089.1	ACO2	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739)	9630632,15598749
00013	-	NP_002188.1	ACO1	General	Isomerase activity (GO:0016853)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Cytoplasm (GO:0005737); Golgi membrane (GO:0000139); Endoplasmic reticulum membrane (GO:0005789)	10419470,16144863,16144863
